,modelo,km,potencia,fecha_registro,tipo_gasolina,color,tipo_coche,volante_regulable,aire_acondicionado,camara_trasera,asientos_traseros_plegables,elevalunas_electrico,bluetooth,gps,alerta_lim_velocidad,precio,fecha_venta
0,118,140411.0,100.0,2012-02-01,diesel,black,convertible,True,True,False,False,True,True,True,False,11300.0,2018-01-01
1,M4,13929.0,317.0,2016-04-01,petrol,grey,convertible,True,True,False,False,False,True,True,True,69700.0,2018-02-01
2,320,183297.0,120.0,2012-04-01,diesel,white,convertible,False,False,False,False,True,False,True,False,10200.0,2018-02-01
3,420,128035.0,135.0,2014-07-01,diesel,red,convertible,True,True,False,False,True,True,True,True,25100.0,2018-02-01
4,425,97097.0,160.0,2014-12-01,diesel,silver,convertible,True,True,False,False,False,True,True,True,33400.0,2018-04-01
5,335,152352.0,225.0,2011-05-01,petrol,black,convertible,True,True,False,False,True,True,True,True,17100.0,2018-02-01
6,325,205219.0,145.0,2009-05-01,diesel,grey,convertible,True,True,False,False,True,True,True,True,12400.0,2018-02-01
7,118,115560.0,105.0,2009-08-01,petrol,white,convertible,True,True,False,False,False,True,True,False,6100.0,2018-02-01
8,Z4,123886.0,125.0,2004-07-01,petrol,black,convertible,True,False,False,False,False,True,True,False,6200.0,2018-03-01
9,320,139541.0,135.0,2013-06-01,diesel,white,convertible,False,False,False,False,True,False,True,False,17300.0,2018-03-01
10,320,77115.0,135.0,2012-09-01,diesel,blue,convertible,True,True,False,False,True,False,True,True,19300.0,2018-03-01
11,325,228000.0,145.0,2009-09-01,diesel,black,convertible,True,True,False,False,True,False,True,True,13300.0,2018-03-01
12,420,132025.0,135.0,2014-03-01,diesel,blue,convertible,True,True,False,False,True,True,True,False,21700.0,2018-03-01
13,420,77061.0,135.0,2015-08-01,diesel,black,convertible,True,True,False,False,True,True,True,True,36300.0,2018-03-01
14,120,174631.0,120.0,2009-01-01,diesel,black,convertible,True,True,False,False,False,False,True,False,10500.0,2018-04-01
15,120,208945.0,130.0,2008-04-01,diesel,grey,convertible,True,True,False,False,True,False,True,True,8300.0,2018-04-01
16,220,21167.0,135.0,2015-07-01,petrol,white,convertible,False,False,True,False,False,False,False,True,21900.0,2018-04-01
17,650,24521.0,270.0,2008-01-01,petrol,grey,convertible,True,False,False,False,False,False,True,False,9200.0,2018-09-01
18,325,205474.0,145.0,2009-05-01,diesel,grey,convertible,True,True,False,False,True,True,True,True,11000.0,2018-04-01
19,Z4,128940.0,110.0,2008-03-01,petrol,black,convertible,True,False,False,False,False,False,True,False,7700.0,2018-05-01
20,135,126213.0,225.0,2013-02-01,petrol,white,convertible,False,False,False,False,False,True,True,True,16800.0,2018-05-01
21,218,24868.0,100.0,2016-01-01,petrol,grey,convertible,False,True,False,False,False,False,True,True,31000.0,2018-05-01
22,420,90401.0,135.0,2014-10-01,diesel,grey,convertible,True,True,False,False,True,True,True,True,26300.0,2018-05-01
23,220,46963.0,140.0,2015-10-01,diesel,orange,convertible,False,True,False,False,False,True,True,True,23300.0,2018-05-01
24,Z4,43662.0,180.0,2013-05-01,petrol,orange,convertible,True,False,False,False,True,False,True,False,20800.0,2018-05-01
25,318,196092.0,85.0,1995-10-01,petrol,blue,convertible,True,False,False,False,False,False,False,False,1800.0,2018-05-01
26,430,113678.0,190.0,2014-07-01,diesel,black,convertible,True,True,False,False,True,True,True,True,30100.0,2018-05-01
27,420,65988.0,135.0,2014-07-01,diesel,grey,convertible,True,True,False,False,True,True,True,True,28700.0,2018-05-01
28,Z4,123809.0,125.0,2004-07-01,petrol,black,convertible,True,False,False,False,False,True,True,False,6500.0,2018-05-01
29,320,181252.0,120.0,2008-08-01,diesel,black,convertible,True,True,False,False,True,False,True,True,11100.0,2018-05-01
30,118,195114.0,105.0,2010-10-01,diesel,red,convertible,True,True,False,False,False,True,True,False,9900.0,2018-05-01
31,Z4,82761.0,110.0,2005-05-01,petrol,grey,convertible,True,False,False,False,False,True,True,False,9500.0,2018-05-01
32,218,25050.0,100.0,2016-01-01,petrol,grey,convertible,False,True,False,False,False,False,True,True,31000.0,2018-06-01
33,420,64832.0,135.0,2014-04-01,diesel,grey,convertible,True,True,False,False,True,True,True,True,27500.0,2018-06-01
34,120,240788.0,120.0,2009-01-01,diesel,grey,convertible,True,False,False,False,False,False,True,False,5500.0,2018-06-01
35,Z4,124516.0,125.0,2004-07-01,petrol,black,convertible,True,False,False,False,False,True,True,False,6300.0,2018-06-01
36,318,187294.0,105.0,2001-09-01,petrol,red,convertible,True,False,False,False,False,True,True,False,2400.0,2018-06-01
37,650,24452.0,270.0,2008-01-01,petrol,grey,convertible,True,False,False,False,False,False,True,False,6800.0,2018-07-01
38,218,17267.0,110.0,2016-03-01,diesel,white,convertible,True,True,False,False,True,False,True,True,24200.0,2018-07-01
39,320,194192.0,120.0,2008-07-01,diesel,beige,convertible,True,True,False,False,True,False,True,False,11800.0,2018-07-01
40,420,36696.0,120.0,2014-07-01,diesel,black,convertible,True,True,False,False,True,False,True,True,34300.0,2018-07-01
41,M3,270907.0,236.0,1996-08-01,petrol,black,convertible,True,False,False,False,False,True,True,False,12100.0,2018-08-01
43,120,223269.0,120.0,2008-07-01,diesel,blue,convertible,True,True,False,False,False,False,True,True,8000.0,2018-08-01
44,120,158805.0,130.0,2008-06-01,diesel,black,convertible,True,False,False,False,True,True,True,False,9000.0,2018-08-01
45,218,13131.0,110.0,2016-04-01,diesel,grey,convertible,False,True,False,False,True,False,True,True,24300.0,2018-08-01
46,318,187104.0,105.0,2001-09-01,petrol,red,convertible,True,False,False,False,False,True,True,False,2600.0,2018-08-01
47,420,20996.0,135.0,2014-05-01,petrol,black,coupe,True,False,False,False,True,False,True,False,21400.0,2018-04-01
48,420,50222.0,135.0,2014-04-01,diesel,grey,coupe,False,False,False,False,False,False,False,True,26200.0,2018-05-01
49,118,147180.0,100.0,2012-05-01,diesel,black,coupe,True,False,True,False,False,False,True,False,8400.0,2018-07-01
50,218,51618.0,105.0,2015-10-01,diesel,grey,coupe,False,True,False,False,True,False,True,False,17100.0,2018-06-01
51,320,104433.0,120.0,2008-03-01,diesel,silver,coupe,True,False,False,False,True,False,True,False,7500.0,2018-07-01
